iter	Passed	Remaining
0	0	5783
1	1	6560
2	2	6500
3	3	7333
4	4	7289
5	5	7187
6	6	7050
7	7	7209
8	8	7284
9	8	7271
10	9	7232
11	10	7284
12	11	7279
13	12	7133
14	12	7068
15	13	6984
16	14	7085
17	15	6989
18	16	7039
19	16	6901
20	17	6864
21	18	6821
22	19	6776
23	20	6807
24	20	6781
25	21	6767
26	22	6726
27	22	6646
28	23	6629
29	24	6691
30	25	6717
31	26	6672
32	26	6665
33	27	6644
34	28	6661
35	29	6583
36	29	6552
37	30	6535
38	31	6538
39	32	6526
40	32	6506
41	33	6516
42	34	6496
43	34	6473
44	35	6457
45	36	6430
46	37	6450
47	38	6464
48	39	6498
49	39	6507
50	40	6528
51	42	6610
52	43	6633
53	43	6594
54	44	6592
55	45	6588
56	46	6614
57	47	6594
58	47	6575
59	48	6570
60	49	6583
61	50	6600
62	51	6619
63	52	6617
64	52	6623
65	53	6626
66	54	6586
67	54	6565
68	55	6547
69	56	6535
70	70	8013
71	70	8004
72	71	7974
73	72	7951
74	73	7917
75	74	7913
76	74	7890
77	75	7854
78	76	7822
79	77	7832
80	78	7826
81	79	7820
82	79	7796
83	80	7772
84	81	7747
85	81	7724
86	82	7706
87	83	7701
88	84	7674
89	85	7671
90	86	7666
91	86	7649
92	87	7646
93	88	7629
94	89	7620
95	90	7611
96	91	7616
97	91	7589
98	92	7572
99	93	7561
100	94	7545
101	95	7535
102	95	7537
103	96	7537
104	97	7528
105	98	7526
106	99	7523
107	100	7507
108	101	7504
109	102	7497
110	102	7477
111	103	7459
112	104	7458
113	105	7456
114	106	7470
115	107	7469
116	108	7474
117	109	7468
118	109	7455
119	110	7458
120	111	7454
121	112	7440
122	113	7459
123	114	7452
124	115	7450
125	116	7449
126	117	7448
127	117	7429
128	118	7419
129	119	7404
130	120	7416
131	121	7416
132	122	7408
133	123	7407
134	124	7419
135	125	7413
136	126	7410
137	126	7400
138	127	7389
139	128	7379
140	128	7365
141	129	7355
142	130	7340
143	130	7321
144	131	7315
145	132	7307
146	133	7303
147	134	7307
148	135	7318
149	136	7310
150	137	7304
151	137	7295
152	138	7291
153	139	7286
154	140	7279
155	141	7269
156	141	7260
157	142	7244
158	143	7254
159	144	7245
160	145	7237
161	145	7232
162	146	7219
163	147	7206
164	148	7202
165	148	7194
166	149	7194
167	150	7192
168	151	7187
169	152	7178
170	152	7166
171	153	7157
172	154	7150
173	155	7142
174	155	7141
175	156	7138
176	157	7145
177	158	7140
178	159	7133
179	160	7127
180	160	7111
181	161	7105
182	162	7098
183	162	7089
184	163	7084
185	164	7088
186	165	7084
187	166	7087
188	167	7085
189	168	7083
190	169	7086
191	169	7074
192	170	7068
193	171	7058
194	172	7060
195	172	7052
196	173	7047
197	174	7046
198	175	7042
199	176	7036
200	176	7030
201	177	7024
202	178	7017
203	179	7010
204	180	7016
205	180	7014
206	181	7004
207	182	7001
208	183	7005
209	184	7002
210	185	6998
211	185	6992
212	186	6989
213	187	6988
214	188	6986
215	189	6985
216	189	6979
217	190	6975
218	191	6985
219	192	6986
220	193	6980
221	194	6975
222	195	6968
223	195	6961
224	196	6952
225	197	6954
226	198	6953
227	198	6948
228	199	6944
229	200	6943
230	201	6939
231	202	6931
232	202	6929
233	203	6927
234	204	6921
235	205	6919
236	205	6906
237	206	6901
238	207	6891
239	207	6885
240	208	6880
241	209	6885
242	210	6886
243	211	6888
244	212	6889
245	213	6886
246	214	6883
247	214	6879
248	215	6877
249	216	6876
250	217	6869
251	218	6873
252	219	6876
253	219	6873
254	220	6869
255	221	6874
256	222	6871
257	223	6874
258	224	6866
259	225	6872
260	226	6874
261	227	6875
262	228	6882
263	229	6876
264	229	6877
265	230	6877
266	231	6875
267	232	6873
268	233	6875
269	234	6874
270	234	6867
271	235	6861
272	236	6859
273	237	6851
274	237	6849
275	238	6845
276	239	6837
277	239	6830
278	240	6822
279	241	6816
280	241	6811
281	242	6804
282	243	6799
283	243	6791
284	244	6785
285	245	6779
286	246	6782
287	246	6777
288	247	6774
289	248	6767
290	249	6762
291	249	6758
292	250	6757
293	251	6757
294	252	6754
295	253	6749
296	253	6743
297	254	6737
298	255	6734
299	255	6727
300	256	6723
301	257	6716
302	257	6716
303	258	6711
304	259	6709
305	260	6703
306	260	6695
307	261	6690
308	262	6685
309	262	6676
310	263	6675
311	264	6687
312	265	6681
313	266	6675
314	266	6674
315	267	6670
316	268	6666
317	269	6661
318	269	6654
319	270	6649
320	270	6643
321	271	6638
322	272	6632
323	272	6628
324	273	6623
325	274	6620
326	275	6617
327	275	6611
328	276	6608
329	277	6604
330	277	6600
331	278	6596
332	279	6591
333	279	6587
334	280	6581
335	281	6576
336	281	6572
337	282	6566
338	283	6561
339	284	6560
340	284	6551
341	285	6547
342	285	6542
343	286	6540
344	287	6533
345	288	6533
346	288	6528
347	289	6521
348	290	6521
349	291	6521
350	291	6514
351	292	6511
352	292	6505
353	293	6499
354	294	6495
355	294	6489
356	295	6487
357	296	6485
358	297	6485
359	298	6484
360	298	6478
361	299	6474
362	300	6471
363	300	6465
364	301	6462
365	302	6472
366	303	6472
367	304	6473
368	305	6472
369	306	6470
370	306	6468
371	307	6466
372	308	6465
373	309	6463
374	309	6458
375	310	6460
376	311	6456
377	312	6454
378	313	6452
379	313	6447
380	314	6441
381	315	6440
382	315	6438
383	316	6435
384	317	6430
385	317	6427
386	318	6423
387	319	6425
388	320	6420
389	320	6417
390	321	6412
391	322	6412
392	323	6410
393	323	6407
394	324	6402
395	325	6401
396	325	6399
397	326	6398
398	327	6394
399	328	6393
400	328	6388
401	329	6388
402	330	6385
403	331	6381
404	331	6376
405	332	6372
406	333	6369
407	333	6367
408	334	6363
409	335	6358
410	335	6357
411	336	6356
412	337	6356
413	338	6352
414	338	6350
415	339	6348
416	340	6347
417	341	6343
418	341	6341
419	342	6340
420	343	6336
421	343	6331
422	344	6328
423	345	6327
424	346	6324
425	346	6319
426	347	6316
427	348	6312
428	348	6309
429	349	6308
430	350	6306
431	350	6302
432	351	6299
433	352	6295
434	352	6293
435	353	6288
436	354	6286
437	354	6284
438	355	6285
439	356	6281
440	357	6277
441	357	6273
442	358	6268
443	358	6264
444	359	6261
445	360	6258
446	361	6254
447	361	6253
448	362	6251
449	363	6249
450	364	6248
451	364	6246
452	365	6242
453	366	6239
454	367	6240
455	367	6238
456	368	6236
457	369	6234
458	369	6232
459	370	6230
460	371	6226
461	371	6222
462	372	6220
463	373	6219
